,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
51,Czechoslovakia,1136.0,1183.0,1348.0,1582.0,1685.0,1844.0,1804.0,2567.0,2806.0,2996.0,3120.0,3301.0,3319.0,3291.0,2971.0,2968.0,3478.0,3898.0,3846.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,DR Congo,238.0,259.0,279.0,346.0,411.0,426.0,390.0,485.0,670.0,638.0,593.0,511.0,497.0,411.0,241.0,251.0,282.0,234.0,260.0,425.0,424.0,391.0,344.0,432.0,226.0,212.0,211.0,211.0,216.0,187.0,174.0,169.0,171.0,170.0,190.0,213.0,247.0,273.0,311.0,286.0,329.0,380.0,417.0,450.0,480.0,486.0
53,Denmark,3464.0,3848.0,4657.0,6127.0,6778.0,7997.0,8775.0,9769.0,11815.0,13749.0,13883.0,12074.0,11793.0,11847.0,11555.0,12254.0,17224.0,21385.0,22562.0,21914.0,26895.0,27012.0,29570.0,27587.0,29966.0,35357.0,35710.0,32888.0,33403.0,33456.0,30751.0,30775.0,33271.0,40516.0,46563.0,48815.0,51994.0,58428.0,64302.0,58157.0,58007.0,61687.0,58409.0,61089.0,62388.0,53149.0
54,Djibouti,414.0,441.0,501.0,588.0,688.0,699.0,752.0,726.0,717.0,785.0,839.0,853.0,868.0,859.0,883.0,872.0,879.0,840.0,827.0,790.0,777.0,764.0,768.0,754.0,786.0,771.0,737.0,716.0,713.0,754.0,769.0,787.0,800.0,829.0,868.0,910.0,974.0,1061.0,1206.0,1235.0,1284.0,1372.0,1471.0,1611.0,1814.0,1956.0
55,Dominica,324.0,360.0,386.0,443.0,525.0,551.0,533.0,587.0,721.0,701.0,930.0,1041.0,1136.0,1267.0,1435.0,1587.0,1819.0,2058.0,2406.0,2604.0,2794.0,2966.0,3202.0,3336.0,3578.0,3639.0,3935.0,4104.0,4374.0,4539.0,4612.0,4710.0,4636.0,4814.0,5329.0,5251.0,5627.0,6056.0,6618.0,7028.0,6939.0,7022.0,6771.0,7073.0,7234.0,7051.0
56,Dominican Republic,413.0,450.0,523.0,600.0,729.0,875.0,936.0,1061.0,1069.0,1212.0,1428.0,1530.0,1640.0,1736.0,2040.0,866.0,1026.0,940.0,841.0,1188.0,1326.0,1347.0,1532.0,1706.0,1818.0,1995.0,2127.0,2407.0,2516.0,2594.0,2798.0,2898.0,2905.0,2274.0,2442.0,3844.0,4048.0,4596.0,4932.0,4903.0,5359.0,5787.0,5952.0,5952.0,6147.0,6374.0
57,East Timor,,,,,,,,,,,,,,,,,,,,,282.0,315.0,386.0,431.0,475.0,527.0,613.0,574.0,661.0,460.0,534.0,548.0,543.0,545.0,1149.0,1869.0,2799.0,2847.0,4358.0,3261.0,4043.0,5543.0,6178.0,4995.0,3607.0,2425.0
58,Ecuador,471.0,441.0,495.0,588.0,970.0,1106.0,1266.0,1495.0,1574.0,1823.0,2241.0,2664.0,2373.0,1992.0,1916.0,1895.0,1651.0,1467.0,1339.0,1392.0,1491.0,1623.0,1689.0,1729.0,2027.0,2135.0,2158.0,2360.0,2299.0,1584.0,1451.0,1904.0,2184.0,2440.0,2709.0,3022.0,3351.0,3591.0,4275.0,4256.0,4657.0,5223.0,5702.0,6074.0,6432.0,6205.0
59,Egypt,234.0,243.0,254.0,259.0,300.0,328.0,379.0,474.0,567.0,369.0,464.0,303.0,345.0,404.0,450.0,482.0,488.0,525.0,557.0,596.0,639.0,679.0,777.0,842.0,923.0,1053.0,1163.0,1260.0,1322.0,1369.0,1400.0,1304.0,1220.0,1025.0,1076.0,1260.0,1413.0,1703.0,2087.0,2337.0,2616.0,2758.0,3193.0,3063.0,3315.0,3452.0
60,El Salvador,92.0,94.0,98.0,111.0,128.0,142.0,177.0,218.0,229.0,252.0,256.0,245.0,250.0,279.0,316.0,383.0,521.0,603.0,704.0,818.0,914.0,998.0,1104.0,1270.0,1463.0,1700.0,1828.0,1956.0,2093.0,2158.0,2260.0,2363.0,2435.0,2550.0,2666.0,2874.0,3109.0,3358.0,3569.0,3431.0,3547.0,3821.0,3922.0,3999.0,4102.0,4219.0
61,Equatorial Guinea,77.0,81.0,81.0,108.0,120.0,156.0,169.0,194.0,225.0,255.0,269.0,240.0,264.0,274.0,255.0,282.0,333.0,388.0,399.0,341.0,389.0,372.0,437.0,426.0,305.0,415.0,657.0,1208.0,979.0,1586.0,2582.0,3488.0,4171.0,5550.0,9536.0,14482.0,15621.0,19633.0,28781.0,21251.0,22366.0,28404.0,28937.0,27529.0,26196.0,16344.0
62,Eritrea,,,,,,,,,,,,,,,,,,,,,106.0,121.0,138.0,160.0,200.0,202.0,234.0,240.0,243.0,231.0,200.0,206.0,193.0,222.0,273.0,262.0,281.0,299.0,307.0,404.0,451.0,544.0,632.0,701.0,793.0,915.0
